Model_Name,Experiment_Time,Total_Params,Mean_IoU
Baseline,250612_020604,7763041,0.3877353623705565
Baseline,250612_022650,7763041,0.3853425942101723
LCNet,250612_031035,508258,0.2581326899761061
LCNet,250612_032355,508258,0.2749228737270442
LCNet,250612_033942,508258,0.1796401198967991
Baseline,250612_232032,7763041,0.4531797609590111
LEDNet,250613_004419,918105,0.1201330261419244
SINet,250613_015805,212226,0.175863716205792
SINet,250613_021114,212226,0.1505649633865157
LCNet,250616_184055,508258,0.2448853877731251
20224258,250616_225703,29921,0.2483729295838938
20224258,250616_231122,18763,0.2206523072949957
20224258,250617_000718,2968,0.2057791624872557
20224258,250617_002327,5460,0.2077240888862047
20224258,250617_003750,9359,0.2250638399441792
20224258,250617_005022,9359,0.2211818404895627
20224258,250617_010503,1596,0.2135682446410021
LCNet,250617_081826,508258,0.3001944948766608
20224258,250617_083028,21210,0.3577976085409481
20224258,250617_090906,21225,0.2800682564016045
20224258,250617_092253,18273,0.2717879837287606
20224258,250617_100100,21210,0.3486087499052122
20224258,250617_101247,21210,0.3486087499052122
20224258,250617_104048,103548,0.2269210312165568
20224258,250617_105323,103548,0.2295563717924813
20224258,250617_110932,103548,0.5019573039074482
20224258,250617_112423,65660,0.5083842740668205
20224258,250617_114855,11105,0.43123011577708026
